mkinitcpio 38.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mpfr 4.2.1-2
mpg123 1.32.5-1
mpv 1:0.37.0-2
mtdev 1.1.6-2
mujs 1.3.4-1
nasm 2.16.01-1
ncurses 6.4_20230520-1
neofetch 7.1.0-2
nettle 3.9.1-1
networkmanager 1.46.0-2
ninja 1.11.1-3
node-gyp 10.0.1-1
nodejs 21.7.1-1
nodejs-nopt 7.2.0-1
noto-fonts 1:24.3.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 1:2.042-1
npm 10.5.0-1
npth 1.7-1
nspr 4.35-2
nss 3.99-1
numactl 2.0.18-1
ocean-sound-theme 6.0.2-3
ocl-icd 2.3.2-1
okular 24.02.0-2
onetbb 2021.11.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencore-amr 0.1.6-1
opencv 4.9.0-2
openexr 3.2.3-1
openjpeg2 2.5.2-1
openmp 17.0.6-1
openmpi 5.0.2-6
openpmix 4.2.9-1
openssh 9.7p1-1
openssl 3.2.1-1
openssl-1.1 1.1.1.w-1
opentabletdriver 0.6.4.0-3
openucx 1.15.0-2
opus 1.5.1-1
orc 0.4.38-1
osm-gps-map 1.2.0-1
oxygen-sounds 6.0.2-3
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pahole 1:1.26-1
pam 1.6.0-4
pambase 20230918-1
pamixer 1.6-3
pango 1:1.52.1-1
pangomm 2.46.4-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.11.1-1
pcre 8.45-4
pcre2 10.43-1
pcsclite 2.0.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.2.1-3
pipewire 1:1.0.4-1
pipewire-audio 1:1.0.4-1
pipewire-pulse 1:1.0.4-1
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.0.2-3
plasma-activities-stats 6.0.2-3
plasma-browser-integration 6.0.2-3
plasma-framework5 5.115.0-3
plasma-integration 6.0.2-3
plasma-workspace 6.0.2-3
plasma5-integration 6.0.2-3
plasma5support 6.0.2-3
playerctl 2.4.1-3
polkit 124-2
polkit-gnome 0.105-10
polkit-kde-agent 6.0.2-3
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.03.0-1
poppler-data 0.4.12-1
poppler-glib 24.03.0-1
poppler-qt5 24.03.0-1
poppler-qt6 24.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
prison 6.0.0-1
prison5 5.115.0-1
procps-ng 4.0.4-3
protobuf 25.3-1
prrte 3.0.4-3
psmisc 23.7-1
pugixml 1.14-1
purpose 6.0.0-1
purpose5 5.115.0-3
python 3.11.8-1
python-annotated-types 0.6.0-1
python-anyascii 0.3.2-1
python-attrs 23.2.0-1
python-autocommand 2.2.2-4
python-bcrypt 4.1.2-1
python-build 1.1.1-2
python-cachecontrol 1:0.14.0-2
python-cachy 0.3.0-9
python-cffi 1.16.0-1
python-charset-normalizer 3.3.2-1
python-cleo 2.1.0-1
python-configargparse 1.5.5-1
python-crashtest 0.4.1-2
python-cryptography 42.0.5-1
python-cssselect2 0.7.0-3
python-cssutils 2.9.0-1
python-distlib 0.3.8-1
python-dulwich 0.21.7-1
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-gobject 3.46.0-1
python-html5lib 1.1-13
python-idna 3.6-1
python-importlib-metadata 5.1.0-1
python-inflect 7.0.0-3
python-iniconfig 2.0.0-4
python-installer 0.7.0-4
python-jaraco.classes 3.3.1-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.test 5.3.0-3
python-jaraco.text 3.12.0-1
python-jeepney 0.8.0-2
python-jinja 1:3.1.3-1
python-jsonschema 4.21.1-1
python-jsonschema-specifications 2023.12.1-1
python-keyring 24.3.0-1
python-lark-parser 1.1.9-1
python-libsass 0.23.0-1
python-lockfile 0.12.2-12
python-lxml 5.1.0-1
python-mako 1.3.2-1
python-markdown 3.6-2
python-markupsafe 2.1.4-1
python-material-color-utilities 0.1.5-1
python-mock 3.0.5-11
python-more-itertools 10.2.0-1
python-msgpack 1.0.5-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-paramiko 2.11.1-4
python-pbr 6.0.0-1
python-pexpect 4.9.0-1
python-pillow 10.2.0-2
python-pip 24.0-1
python-pkginfo 1.9.6-2
python-platformdirs 4.2.0-1
python-pluggy 1.4.0-2
python-ply 3.11-12
python-poetry 1.8.2-1
python-poetry-core 1.9.0-3
python-poetry-plugin-export 1.5.0-1
python-ptyprocess 0.7.0-5
python-pycparser 2.21-5
python-pydantic 2.6.4-1
python-pydantic-core 1:2.16.3-1
python-pynacl 1.4.0-7
python-pyproject-hooks 1.0.0-5
python-pyrsistent 0.19.3-3
python-pytest 1:8.1.1-1
python-pywal 3.3.0-8
python-pywayland 0.4.17-1
python-rapidfuzz 3.6.2-1
python-referencing 0.33.0-1
python-regex 2023.12.25-1
python-reportlab 4.1.0-1
python-requests 2.31.0-1
python-requests-toolbelt 1.0.0-1
python-resolvelib 1.0.1-1
python-rpds-py 0.17.1-1
python-secretstorage 3.3.3-2
python-setproctitle 1.3.3-1
python-setuptools 1:69.0.3-4
python-setuptools-scm 8.0.4-1
python-shellingham 1.5.4-1
python-six 1.16.0-8
python-svglib 1.5.1-2
python-tinycss2 1.2.1-2
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-tomlkit 0.12.4-1
python-tqdm 4.66.2-1
python-trove-classifiers 2024.3.3-1
python-typing_extensions 4.10.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-webencodings 0.5.1-10
python-werkzeug 2.3.8-1
python-wheel 0.43.0-1
python-yaml 6.0.1-2
python-yapsy 1.12.2-8
python-zipp 3.17.0-1
qbittorrent 4.6.3-1
qca-qt5 2.3.8-2
qca-qt6 2.3.8-2
qqc2-breeze-style 6.0.2-3
qqc2-desktop-style 6.0.0-1
qqc2-desktop-style5 5.115.0-1
qrencode 4.1.1-2
qt5-base 5.15.13+kde+r138-1
qt5-declarative 5.15.13+kde+r30-1
qt5-doc 5.15.13-1
qt5-graphicaleffects 5.15.13-1
qt5-location 5.15.13+kde+r6-1
qt5-multimedia 5.15.13+kde+r2-1
qt5-quickcontrols 5.15.13-1
qt5-quickcontrols2 5.15.13+kde+r5-1
qt5-sensors 5.15.13-1
qt5-speech 5.15.13+kde+r1-1
qt5-svg 5.15.13+kde+r6-1
qt5-tools 5.15.13+kde+r4-1
qt5-translations 5.15.13-1
qt5-wayland 5.15.13+kde+r60-1
qt5-webchannel 5.15.13+kde+r3-1
qt5-webengine 5.15.16-5
qt5-x11extras 5.15.13-1
qt5-xmlpatterns 5.15.13-1
qt6-5compat 6.6.2-2
qt6-base 6.6.2-4
qt6-declarative 6.6.2-1
qt6-multimedia 6.6.2-1
qt6-multimedia-ffmpeg 6.6.2-1
qt6-positioning 6.6.2-1
qt6-sensors 6.6.2-1
qt6-shadertools 6.6.2-1
qt6-speech 6.6.2-1
qt6-svg 6.6.2-1
qt6-tools 6.6.2-2
qt6-translations 6.6.2-1
qt6-virtualkeyboard 6.6.2-2
qt6-wayland 6.6.2-1
qt6-webchannel 6.6.2-1
qt6-webengine 6.6.2-1
raptor 2.0.16-4
rav1e 0.7.1-1
readline 8.2.010-1
rhash 1.4.4-1
ripgrep 14.1.0-1
rnote 0.10.1-1
rofimoji 6.2.0-1
rsync 3.2.7-6
rtkit 0.13-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.5.4-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
